exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
34;123.367;15.4923;0.;0.357335;0.678554;0.962046;1.20771;1.41551;1.61377;1.77959;1.87668;1.93335;1.95333
35;67.0004;12.874;0.;0.357334;0.678575;0.980503;1.23638;1.45257;1.6226;1.75488;1.84937;1.90604;1.92603
36;118.315;2.77268;-0.0000000000000000138778;0.357271;0.678559;0.962026;1.20766;1.41649;1.61911;1.76922;1.86364;1.92033;1.94025
37;185.018;11.7085;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71794;1.8124;1.87699;1.88846
38;87.7983;8.38802;0.;0.357323;0.678578;0.96204;1.2128;1.41745;1.58239;1.71471;1.80919;1.86588;1.88586
39;102.137;11.8443;0.;0.357335;0.678554;0.962042;1.2077;1.43053;1.59896;1.73267;1.82715;1.88382;1.90381
40;153.851;3.56279;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58561;1.72003;1.83099;1.88732;1.90728
41;98.2114;5.5214;0.;0.357324;0.678594;0.962045;1.20792;1.43073;1.59591;1.72768;1.82218;1.87886;1.89885
42;11.2027;5.26096;0.;0.384934;0.701065;0.984577;1.23023;1.43813;1.6082;1.74049;1.83497;1.89165;1.91164
43;90.0698;16.7811;0.;0.357323;0.678575;0.962139;1.21728;1.54316;1.73558;1.8679;1.96237;2.01909;2.03906
44;39.8707;7.57139;0.;0.357097;0.688324;0.959912;1.20439;1.4123;1.58238;1.71467;1.80915;1.86583;1.88581
45;188.039;15.288;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71793;1.8125;1.86752;1.87726
46;82.4845;4.32444;0.;0.357271;0.678549;0.962032;1.22473;1.44566;1.61461;1.74692;1.84143;1.89811;1.91809
47;115.584;6.71012;0.;0.357324;0.67859;0.96202;1.20771;1.41631;1.59703;1.71898;1.81331;1.87;1.88999
48;117.015;17.8743;0.;0.357323;0.678574;0.962047;1.20777;1.41238;1.70315;1.91104;2.00563;2.06235;2.08232
49;89.5876;2.65104;0.;0.357271;0.678528;0.961848;1.21987;1.48352;1.66036;1.79254;1.88704;1.94375;1.96367
50;64.3014;11.7633;0.;0.357333;0.678576;0.978834;1.22419;1.43487;1.60493;1.73721;1.8317;1.88838;1.90836
51;61.3802;13.7037;0.;0.357326;0.67871;0.99317;1.26245;1.47272;1.64278;1.77506;1.86955;1.92623;1.94621
52;136.256;6.74973;0.;0.357324;0.67859;0.96202;1.20771;1.41557;1.58648;1.72897;1.81316;1.86966;1.88965
53;172.833;2.32871;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71789;1.81514;1.88938;1.91169
54;144.88;10.736;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58564;1.72758;1.81515;1.87211;1.89209
55;24.7316;5.62716;0.;0.366323;0.697327;0.97693;1.22267;1.43057;1.60064;1.73293;1.82741;1.88409;1.90408
56;52.6599;16.3847;0.;0.357378;0.681548;1.07321;1.37955;1.58746;1.75756;1.88984;1.98433;2.04101;2.06099
57;25.9423;5.11543;-0.0000000000000000138778;0.366503;0.70623;0.986024;1.23176;1.43965;1.60972;1.74201;1.83649;1.89317;1.91316
58;91.9571;7.38635;0.;0.357324;0.678594;0.96203;1.20939;1.42349;1.5839;1.71624;1.81072;1.86741;1.88739
59;114.418;8.49846;0.;0.357324;0.678594;0.962021;1.20771;1.41668;1.59392;1.71555;1.80999;1.86668;1.88666
60;179.426;11.0063;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71793;1.81232;1.87952;1.88963
61;188.856;5.44728;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81239;1.876;1.90582
62;137.209;7.25364;0.;0.357324;0.67859;0.96202;1.20771;1.41558;1.58626;1.72876;1.81197;1.86837;1.88836
63;153.475;3.33838;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58561;1.72033;1.83283;1.89006;1.91002
64;157.249;6.27405;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58564;1.71875;1.82352;1.87091;1.8906
65;154.957;14.8787;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58569;1.71723;1.82635;1.89907;1.9191
66;148.205;10.3319;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58566;1.72407;1.81549;1.87059;1.89058
67;68.3783;7.89605;0.;0.357324;0.678586;0.965894;1.21076;1.41205;1.5822;1.7145;1.80898;1.86567;1.88565
68;136.641;6.07404;0.;0.357324;0.67859;0.962021;1.20771;1.41556;1.58641;1.72998;1.8158;1.87226;1.89224
69;98.6526;6.63314;0.;0.357324;0.678594;0.962019;1.20782;1.42743;1.58777;1.7194;1.8139;1.87059;1.89057
70;93.1016;8.84788;0.;0.357324;0.678594;0.962027;1.2092;1.42232;1.58297;1.71527;1.80975;1.86644;1.88642
71;32.8436;3.68628;-0.0000000000000000832667;0.361431;0.733217;1.02322;1.26883;1.47672;1.6468;1.77909;1.87357;1.93025;1.95023
72;125.2;3.87732;0.0000000000000000138778;0.357271;0.678559;0.962026;1.20769;1.41552;1.59668;1.74347;1.83688;1.89359;1.91352
73;51.3518;4.78313;0.;0.357313;0.681539;0.992286;1.23438;1.44229;1.61237;1.74466;1.83914;1.89582;1.91581
74;34.7604;7.80643;0.0000000000000000138778;0.357182;0.687576;0.958015;1.20356;1.41145;1.58153;1.71382;1.8083;1.86498;1.88496
75;130.544;14.8509;0.;0.357335;0.678554;0.962046;1.20771;1.41557;1.59137;1.74669;1.85822;1.91484;1.93482
76;98.7453;16.1438;0.;0.357323;0.678574;0.962043;1.20729;1.46492;1.69334;1.82597;1.92044;1.97715;1.99712
77;102.161;4.15616;0.;0.357324;0.678594;0.962036;1.20777;1.43221;1.61344;1.74487;1.83937;1.89607;1.91599
78;13.7163;8.88925;0.;0.363877;0.674334;0.957775;1.20343;1.41132;1.5814;1.71369;1.80817;1.86485;1.88483
79;128.483;9.41229;0.;0.357324;0.67859;0.962021;1.20771;1.41559;1.59128;1.7207;1.81154;1.86825;1.88824
80;33.2968;14.8303;-0.0000000000000000693889;0.364317;0.738986;1.07082;1.31643;1.52432;1.6944;1.82669;1.92117;1.97785;1.99783
81;70.043;10.9177;0.;0.357336;0.678551;0.968211;1.21542;1.42433;1.59439;1.72667;1.82117;1.87785;1.89783
82;176.604;11.2671;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71796;1.81238;1.87813;1.89059
83;43.7449;11.3648;0.;0.35733;0.695036;0.976211;1.22397;1.43182;1.6019;1.73418;1.82867;1.88535;1.90533
84;137.657;3.70864;0.;0.357324;0.67859;0.96202;1.20771;1.41556;1.58642;1.73741;1.83519;1.8917;1.91164
85;33.9145;9.62867;0.;0.358542;0.685885;0.961236;1.2069;1.41479;1.58487;1.71716;1.81164;1.86832;1.8883
86;123.177;11.3642;0.;0.357335;0.678554;0.962046;1.20771;1.41554;1.59792;1.72484;1.82043;1.87709;1.89708
87;167.982;13.4322;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58567;1.71795;1.81653;1.87603;1.90057
88;135.284;15.7501;0.;0.357335;0.678553;0.962021;1.20769;1.4156;1.58499;1.746;1.87211;1.92886;1.94884
89;54.0893;16.2962;0.;0.357375;0.679165;1.05573;1.37231;1.58027;1.75035;1.88263;1.97712;2.0338;2.05378
90;172.519;13.3308;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71797;1.81213;1.87449;1.89809
91;97.5333;10.752;0.;0.357335;0.678555;0.96205;1.20813;1.42733;1.59115;1.72361;1.81809;1.87477;1.89476
92;168.187;5.48685;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71793;1.81796;1.87616;1.89229
93;58.9684;15.808;0.;0.357336;0.678399;1.02496;1.33989;1.54835;1.71844;1.85073;1.94521;2.00189;2.02188
94;169.497;15.9796;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71798;1.81331;1.8899;1.91958
95;68.3587;6.93882;0.;0.357324;0.678582;0.965626;1.21448;1.41547;1.58564;1.71794;1.81242;1.8691;1.88909
96;70.3099;7.99311;0.;0.357324;0.678566;0.964476;1.21249;1.41198;1.58211;1.71441;1.80889;1.86558;1.88556
97;129.691;8.14058;0.;0.357324;0.67859;0.962021;1.20771;1.41558;1.58979;1.72241;1.81039;1.86712;1.8871
98;154.851;16.656;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58569;1.71621;1.84015;1.92768;1.94771
99;81.6594;2.6845;0.;0.357271;0.678535;0.962191;1.24502;1.49348;1.66412;1.79638;1.89088;1.94759;1.96751
100;98.2423;13.9982;0.;0.357335;0.678554;0.96204;1.20799;1.44078;1.63266;1.76559;1.86007;1.91675;1.93674
101;25.6605;8.79809;0.;0.363303;0.676887;0.956864;1.20257;1.41046;1.58054;1.71283;1.80731;1.86399;1.88397
102;118.117;8.81248;0.;0.357324;0.678594;0.962021;1.20771;1.41587;1.59599;1.71611;1.81033;1.86703;1.88701
103;60.3165;6.4447;0.;0.357329;0.678437;0.973828;1.21252;1.41905;1.58916;1.72145;1.81593;1.87261;1.89259
104;138.935;9.52164;0.;0.357324;0.67859;0.96202;1.20771;1.41558;1.58588;1.72884;1.81205;1.86859;1.88857
105;175.761;16.1147;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71797;1.81106;1.87772;1.9138
106;173.289;13.3256;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71796;1.81185;1.87473;1.89773
107;58.494;4.97901;0.0000000000000000138778;0.357271;0.678598;0.98313;1.23014;1.43742;1.60751;1.7398;1.83428;1.89096;1.91094
108;104.608;10.1439;0.;0.357335;0.678554;0.962046;1.20771;1.42578;1.58778;1.71967;1.81417;1.87085;1.89083
109;93.4564;16.377;0.;0.357323;0.678574;0.962084;1.2078;1.48807;1.70984;1.84216;1.93663;1.99334;2.01331
110;16.4855;13.0919;0.00000000000000000693889;0.389287;0.73566;1.0196;1.26524;1.47313;1.64321;1.7755;1.86998;1.92666;1.94664
111;10.2677;15.907;0.0000000000000000138778;0.493564;0.8535;1.13695;1.38261;1.59049;1.76057;1.89286;1.98734;2.04402;2.064
112;55.822;12.2315;0.;0.357327;0.68041;0.98048;1.2354;1.4435;1.61358;1.74587;1.84035;1.89703;1.91701
113;68.1199;11.2869;0.;0.357334;0.678559;0.971991;1.21759;1.42841;1.59845;1.73074;1.82524;1.88191;1.9019
114;90.691;9.07042;0.;0.357323;0.678574;0.962046;1.21087;1.41992;1.58333;1.71565;1.81013;1.86682;1.8868
115;95.1005;14.4432;0.;0.357335;0.678554;0.962048;1.20915;1.4459;1.64434;1.77674;1.87123;1.92791;1.94789
116;189.562;5.28185;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71793;1.81238;1.87616;1.9088
117;13.2652;2.46217;0.;0.467932;0.819929;1.10305;1.3487;1.55659;1.72667;1.85896;1.95344;2.01012;2.0301
118;125.52;17.2258;0.;0.357324;0.67857;0.962039;1.20771;1.41567;1.62218;1.84056;1.93498;1.9917;2.01167
119;167.325;15.8123;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71797;1.81818;1.89411;1.91993
120;49.5788;13.5953;0.;0.357293;0.695686;1.00221;1.26684;1.47466;1.64474;1.77703;1.87151;1.92819;1.94817
121;41.263;14.39;0.0000000000000000138778;0.357065;0.722055;1.04626;1.29447;1.50232;1.67239;1.80468;1.89916;1.95584;1.97583
122;26.3948;9.40258;0.;0.364234;0.678613;0.959399;1.20509;1.41298;1.58306;1.71535;1.80983;1.86651;1.88649
123;26.0505;12.802;-0.0000000000000000138778;0.382583;0.716756;1.00859;1.25417;1.46205;1.63213;1.76442;1.8589;1.91558;1.93556
124;83.8961;7.18561;0.;0.357323;0.678575;0.962015;1.21572;1.41739;1.58449;1.71682;1.81132;1.86801;1.88799
125;23.3093;3.2253;0.;0.39087;0.762663;1.04676;1.2924;1.50029;1.67037;1.80266;1.89714;1.95382;1.9738
126;112.881;7.75083;0.;0.357324;0.678594;0.962021;1.2077;1.41725;1.59357;1.71585;1.81033;1.86702;1.887
127;119.857;7.03626;0.;0.357324;0.67859;0.962019;1.20769;1.41572;1.59652;1.71846;1.81208;1.86879;1.88877
128;118.092;11.7277;0.;0.357335;0.678554;0.962046;1.20769;1.41582;1.59865;1.72893;1.82377;1.88044;1.90042
129;189.468;7.12489;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71793;1.81239;1.87762;1.91245
130;168.122;10.9319;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81791;1.87187;1.89108
131;175.26;5.81959;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71792;1.81402;1.87906;1.89156
132;25.2806;6.99758;0.;0.362886;0.682857;0.961399;1.20715;1.41504;1.58512;1.71741;1.81189;1.86857;1.88855
133;148.36;13.2407;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.72426;1.82363;1.88638;1.90632
134;112.946;9.29492;0.;0.357324;0.678594;0.962021;1.2077;1.41745;1.59239;1.71659;1.81107;1.86776;1.88774
135;173.029;9.59624;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81446;1.87635;1.88905
136;47.883;14.4983;0.;0.357318;0.708779;1.03226;1.29506;1.50287;1.67295;1.80523;1.89972;1.9564;1.97638
137;18.9727;11.4241;-0.0000000000000000138778;0.3754;0.697808;0.981996;1.22763;1.43553;1.6056;1.73789;1.83237;1.88905;1.90904
138;127.981;17.0569;0.;0.357324;0.67857;0.962039;1.20771;1.41569;1.6017;1.82364;1.92239;1.9791;1.99908
139;56.0838;2.10974;-0.0000000000000000138778;0.357174;0.683384;1.05948;1.35063;1.55829;1.72836;1.86064;1.95513;2.01181;2.03179
140;81.1455;8.14781;0.;0.357323;0.678574;0.96202;1.2174;1.41343;1.58224;1.71456;1.80904;1.86573;1.88571
141;176.212;10.6439;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81272;1.87839;1.8897
142;84.4291;11.3516;0.;0.357335;0.678553;0.962015;1.22143;1.42566;1.59754;1.72981;1.82431;1.88099;1.90097
143;44.7806;12.4919;0.;0.357315;0.701069;0.992078;1.24283;1.45066;1.62073;1.75302;1.8475;1.90418;1.92417
144;77.2532;2.47288;0.0000000000000000138778;0.357278;0.678495;0.964208;1.26871;1.50863;1.67866;1.81095;1.90544;1.96214;1.98206
145;146.602;3.07393;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58559;1.72746;1.8405;1.89718;1.91716
146;145.84;11.7677;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58562;1.72704;1.81825;1.87689;1.89682
147;59.7759;6.1451;0.0000000000000000138778;0.35733;0.678436;0.975244;1.21505;1.4218;1.5919;1.72419;1.81867;1.87535;1.89533
148;112.811;7.12251;0.;0.357324;0.678594;0.962021;1.2077;1.41723;1.59473;1.71728;1.81179;1.86848;1.88846
149;79.2106;9.83596;0.;0.357324;0.67857;0.962161;1.21878;1.41609;1.58607;1.71837;1.81285;1.86954;1.88952
150;123.139;2.25267;0.0000000000000000138778;0.357271;0.678559;0.962026;1.20768;1.41553;1.61345;1.7846;1.88028;1.93693;1.95686
151;127.047;15.966;0.;0.357324;0.67857;0.962039;1.20771;1.41561;1.60623;1.78317;1.88508;1.94174;1.96171
152;36.5907;9.02235;0.;0.35742;0.687364;0.958602;1.20409;1.41198;1.58206;1.71435;1.80883;1.86551;1.88549
153;166.021;9.83127;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71793;1.82056;1.87058;1.88917
154;85.0321;8.86624;0.;0.357323;0.678574;0.962036;1.21581;1.4152;1.58276;1.71508;1.80958;1.86627;1.88625
155;111.412;9.96468;0.;0.357335;0.678554;0.962046;1.20771;1.41869;1.59122;1.71875;1.81325;1.86994;1.88992
156;53.4081;15.7307;0.;0.357349;0.682523;1.03956;1.34167;1.54958;1.71966;1.85194;1.94643;2.00311;2.02309
157;68.8201;11.1031;0.;0.357335;0.678556;0.97039;1.21622;1.42632;1.59637;1.72865;1.82315;1.87983;1.89981
158;39.3671;15.1908;0.;0.357636;0.73676;1.0813;1.32799;1.53585;1.70593;1.83822;1.9327;1.98938;2.00936
159;64.3457;3.86998;-0.0000000000000000277556;0.357268;0.678494;0.980046;1.25302;1.46015;1.63026;1.76256;1.85704;1.91373;1.93371
160;12.7579;14.0596;0.;0.408761;0.767042;1.05048;1.29613;1.50402;1.6741;1.80639;1.90087;1.95755;1.97753
161;60.9355;15.7414;0.;0.357333;0.678545;1.02167;1.33399;1.54328;1.71334;1.84563;1.94011;1.99679;2.01678
162;161.394;3.93278;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71813;1.82371;1.88192;1.9013
163;108.945;4.68623;0.;0.357324;0.67859;0.962019;1.20766;1.42087;1.60655;1.73544;1.82999;1.88669;1.90661
164;20.0714;3.3561;0.;0.402536;0.759295;1.0426;1.28826;1.49615;1.66623;1.79852;1.893;1.94968;1.96966
165;52.7145;13.5935;0.;0.357302;0.685751;0.994428;1.26552;1.47338;1.64346;1.77574;1.87023;1.9269;1.94689
166;61.7439;3.43519;0.;0.357268;0.678625;0.991651;1.26672;1.47442;1.64451;1.77681;1.87129;1.92797;1.94796
167;104.437;12.2868;0.;0.357335;0.678554;0.962052;1.20769;1.43051;1.60181;1.73711;1.83157;1.88825;1.90824
168;153.318;2.51845;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.5856;1.72113;1.84174;1.90356;1.92349
169;90.7435;15.337;0.;0.357323;0.678574;0.962055;1.21852;1.47404;1.67211;1.80433;1.89883;1.95551;1.97549
170;181.695;9.81634;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81248;1.88008;1.89025
171;63.8314;12.2875;0.;0.357336;0.678598;0.982006;1.23159;1.44292;1.61296;1.74525;1.83973;1.89641;1.9164
172;90.5434;7.84881;0.;0.357323;0.678574;0.962048;1.21034;1.42105;1.5828;1.71513;1.80963;1.86632;1.8863
173;90.9077;2.20796;-0.0000000000000000138778;0.357271;0.678559;0.961799;1.22017;1.50123;1.68544;1.81752;1.912;1.96871;1.98863
174;33.6891;14.7046;0.;0.363357;0.73481;1.06541;1.31104;1.51893;1.68901;1.82129;1.91578;1.97246;1.99244
175;44.4914;12.9839;0.;0.357337;0.704933;1.00211;1.25344;1.46127;1.63134;1.76363;1.85811;1.91479;1.93478
176;90.7909;2.98069;0.0000000000000000138778;0.357271;0.678528;0.961897;1.21566;1.47037;1.64627;1.77848;1.87298;1.92968;1.9496
177;151.306;6.46488;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58564;1.72119;1.82079;1.87024;1.89025
178;108.087;4.39818;0.;0.357324;0.67859;0.962019;1.20765;1.42232;1.6097;1.73948;1.83404;1.89073;1.91065
179;125.066;9.38549;0.;0.357324;0.67859;0.962021;1.20771;1.41559;1.59465;1.71854;1.81145;1.86815;1.88813
180;100.14;10.1144;0.;0.357335;0.678554;0.962046;1.2078;1.42723;1.58733;1.71961;1.81409;1.87078;1.89076
181;110.748;6.67456;0.;0.357324;0.678594;0.962019;1.20769;1.41834;1.59454;1.71898;1.81353;1.87022;1.8902
182;94.2245;5.35633;0.;0.357324;0.678593;0.96203;1.20877;1.43358;1.59761;1.72982;1.82432;1.88101;1.90099
183;108.141;11.7404;0.;0.357335;0.678554;0.962045;1.20768;1.42443;1.59511;1.73082;1.82526;1.88194;1.90193
184;86.6327;11.5606;0.;0.357335;0.678556;0.96202;1.21965;1.4264;1.59952;1.73176;1.82626;1.88294;1.90292
185;93.6714;3.33944;0.;0.357271;0.678559;0.961969;1.21107;1.45689;1.63358;1.76579;1.86029;1.917;1.93692
186;144.861;16.3126;0.;0.357324;0.67859;0.962049;1.20772;1.41558;1.58566;1.73984;1.87268;1.93188;1.95185
187;165.281;16.0845;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71793;1.82279;1.90245;1.92533
188;125.708;4.51555;0.0000000000000000138778;0.357271;0.678559;0.962026;1.20769;1.41553;1.59442;1.73609;1.82851;1.88524;1.90522
189;42.0641;15.5895;0.;0.357336;0.742974;1.09681;1.34499;1.55285;1.72293;1.85521;1.9497;2.00638;2.02636
190;23.8178;9.86648;0.;0.36754;0.679511;0.962372;1.20804;1.41593;1.586;1.71829;1.81277;1.86945;1.88944
191;39.1237;10.833;0.;0.357654;0.692872;0.971443;1.21752;1.42539;1.59547;1.72776;1.82224;1.87892;1.8989
192;152.284;9.3565;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.72043;1.81888;1.86845;1.88844
193;96.2167;8.10364;0.;0.357324;0.678594;0.962032;1.20809;1.42523;1.58293;1.71502;1.8095;1.86619;1.88617
194;135.116;2.64835;0.;0.357324;0.67859;0.962021;1.20771;1.41552;1.58807;1.75236;1.85647;1.91307;1.93299
195;128.242;7.30884;0.;0.357324;0.67859;0.962021;1.20771;1.41555;1.5908;1.72252;1.8114;1.86815;1.88813
196;11.3008;7.35083;-0.0000000000000000277556;0.364538;0.676125;0.959646;1.2053;1.4132;1.58327;1.71556;1.81004;1.86672;1.88671
197;188.498;6.53036;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71793;1.81239;1.8768;1.90613
198;112.981;16.5373;0.;0.357323;0.678574;0.962047;1.20776;1.41455;1.65172;1.82579;1.92028;1.977;1.99697
199;186.351;13.4798;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81242;1.8734;1.88453
200;89.7076;13.2159;0.;0.357335;0.678553;0.962007;1.2183;1.43924;1.62204;1.75427;1.84876;1.90544;1.92543
201;61.3527;13.3395;0.;0.357325;0.678723;0.990385;1.25379;1.46404;1.6341;1.76639;1.86087;1.91755;1.93753
202;114.272;10.1144;0.;0.357335;0.678554;0.962046;1.20769;1.41686;1.59402;1.71934;1.81385;1.87054;1.89052
203;17.5335;14.8539;0.;0.416503;0.798878;1.08294;1.32859;1.53648;1.70655;1.83884;1.93332;1.99;2.00999
204;125.026;11.532;0.;0.357335;0.678554;0.962046;1.20769;1.41555;1.59672;1.72517;1.82141;1.87806;1.89804
205;95.6787;13.7236;0.;0.357335;0.678554;0.962045;1.20892;1.43876;1.62884;1.76132;1.85581;1.91249;1.93247
206;11.7937;13.1393;0.0000000000000000138778;0.393314;0.736329;1.01975;1.2654;1.47329;1.64336;1.77565;1.87014;1.92681;1.9468
207;40.0202;2.22677;0.;0.358251;0.753627;1.10508;1.35166;1.55951;1.72958;1.86187;1.95635;2.01303;2.03302
208;158.213;15.2657;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58567;1.71741;1.82645;1.90103;1.92132
209;60.746;13.0289;0.;0.357311;0.678782;0.987605;1.24769;1.45743;1.6275;1.75979;1.85427;1.91095;1.93093
210;132.179;15.1666;0.;0.357335;0.678553;0.962021;1.20769;1.4156;1.58776;1.74615;1.86284;1.91949;1.93946
