exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
0;116.873;9.70955;0.;0.357324;0.678594;0.962021;1.20771;1.41604;1.59569;1.71784;1.8123;1.86898;1.88897
1;87.3527;4.80344;0.;0.357324;0.678594;0.961996;1.21488;1.43865;1.60554;1.73788;1.83238;1.88908;1.90901
2;98.2257;2.25056;0.0000000000000000138778;0.35727;0.678561;0.961964;1.20924;1.47056;1.6755;1.80783;1.90232;1.95903;1.97895
3;144.34;10.577;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58565;1.72789;1.81474;1.87155;1.89152
4;150.057;4.32133;0.;0.357324;0.67859;0.962049;1.20772;1.41557;1.58561;1.72214;1.82773;1.88142;1.90143
5;69.7532;10.9814;0.;0.357334;0.678573;0.968724;1.21565;1.425;1.59504;1.72732;1.82182;1.8785;1.89848
6;27.6699;9.13014;0.0000000000000000416334;0.362686;0.679402;0.958595;1.20429;1.41218;1.58226;1.71455;1.80903;1.86571;1.88569
7;41.0173;14.0776;0.;0.357546;0.718357;1.03651;1.28456;1.49241;1.66249;1.79478;1.88926;1.94594;1.96592
8;166.064;16.3494;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71797;1.82176;1.90485;1.92819
9;113.825;3.90177;-0.0000000000000000277556;0.357271;0.678559;0.962023;1.20765;1.41784;1.61257;1.74568;1.84014;1.89684;1.91677
10;55.0941;6.84694;0.;0.357332;0.678529;0.974199;1.20844;1.41613;1.58624;1.71852;1.81301;1.86969;1.88967
11;169.958;12.6;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81456;1.87356;1.89602
12;21.3691;13.7796;0.;0.398002;0.751973;1.03832;1.28396;1.49185;1.66193;1.79421;1.8887;1.94538;1.96536
13;167.439;6.87275;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58565;1.71792;1.81904;1.87335;1.88919
14;116.682;11.1825;0.;0.357335;0.678554;0.962046;1.20772;1.41612;1.59705;1.72514;1.81979;1.87647;1.89645
15;28.3023;9.53106;0.0000000000000000277556;0.362985;0.680703;0.960612;1.2063;1.41418;1.58426;1.71655;1.81103;1.86771;1.88769
16;115.212;6.17044;0.;0.357324;0.67859;0.962019;1.20769;1.41643;1.59834;1.72167;1.81605;1.87273;1.89271
17;84.9676;13.3823;0.;0.357335;0.678556;0.962036;1.22992;1.45096;1.62669;1.75892;1.85343;1.9101;1.93009
18;38.9292;15.8423;0.;0.357124;0.75201;1.11509;1.36142;1.5693;1.73938;1.87167;1.96615;2.02283;2.04281
19;30.0965;11.3879;0.;0.365857;0.691402;0.979976;1.22558;1.43347;1.60355;1.73583;1.83032;1.887;1.90698
20;173.153;9.36196;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81451;1.87661;1.8889
21;153.21;7.08166;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58564;1.72016;1.82127;1.86887;1.88882
22;29.7385;7.73067;0.;0.358471;0.682714;0.957296;1.20303;1.41092;1.581;1.71328;1.80777;1.86445;1.88443
23;181.933;13.3371;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71795;1.81222;1.87657;1.89054
24;118.96;2.40496;-0.0000000000000000138778;0.357271;0.678559;0.962026;1.20766;1.41644;1.62402;1.78194;1.87649;1.93318;1.9531
25;85.451;8.35138;0.;0.357323;0.678575;0.962033;1.21487;1.41552;1.5823;1.71462;1.80912;1.8658;1.88579
26;37.0879;7.60567;0.0000000000000000138778;0.357;0.688834;0.959009;1.20422;1.41212;1.5822;1.71449;1.80897;1.86565;1.88563
27;182.933;12.3523;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71794;1.81232;1.87745;1.88848
28;59.9614;5.44962;0.0000000000000000138778;0.357321;0.678493;0.978084;1.22315;1.42995;1.60005;1.73234;1.82682;1.8835;1.90349
29;20.1452;9.61086;-0.0000000000000000138778;0.368296;0.677815;0.960973;1.20663;1.41452;1.5846;1.71689;1.81137;1.86805;1.88803
30;165.615;13.4556;0.;0.357324;0.67859;0.962049;1.20772;1.41559;1.58566;1.71789;1.81973;1.87845;1.90178
31;120.619;5.92706;0.;0.357324;0.67859;0.962021;1.20771;1.41571;1.59727;1.72383;1.81723;1.87394;1.89392
32;136.109;17.8904;0.;0.357335;0.678553;0.962021;1.20769;1.41564;1.582;1.82701;1.96283;2.01968;2.03966
33;24.3552;12.7664;0.;0.384892;0.718993;1.00808;1.25368;1.46157;1.63165;1.76393;1.85842;1.9151;1.93508
