exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
2255;63.2844;10.172;0.;0.178667;0.339291;0.486729;0.605236;0.709135;0.794172;0.860316;0.907558;0.935897;0.945889
2256;39.5028;14.7629;0.;0.178883;0.364457;0.531383;0.654906;0.758837;0.843876;0.910019;0.957261;0.985601;0.995592
2257;29.7164;9.35234;0.;0.18031;0.340453;0.479502;0.602349;0.706296;0.791335;0.857478;0.90472;0.933059;0.943051
2258;110.933;10.6102;0.;0.178667;0.339277;0.481026;0.603853;0.709698;0.795838;0.861005;0.908251;0.93659;0.946582
2259;71.8688;14.103;0.;0.178668;0.339277;0.485213;0.622111;0.739137;0.824146;0.890287;0.937537;0.965876;0.975868
2260;104.732;6.11895;0.;0.178662;0.339297;0.481026;0.603851;0.711837;0.796585;0.861144;0.908421;0.936764;0.946755
2261;37.5143;3.9898;0.0000000000000000138778;0.178994;0.357982;0.505967;0.628653;0.732602;0.817641;0.883785;0.931027;0.959366;0.969357
2262;42.9309;9.8557;0.;0.178659;0.344732;0.481592;0.60419;0.708134;0.793173;0.859316;0.906558;0.934898;0.944889
2263;92.7449;12.7728;0.;0.178667;0.339289;0.481015;0.605866;0.716279;0.806958;0.873102;0.920342;0.948682;0.958673
2264;77.6041;14.1163;0.;0.178667;0.33928;0.481379;0.619361;0.737543;0.822879;0.889013;0.936263;0.964602;0.974594
2265;55.9356;8.35175;0.00000000000000000693889;0.17867;0.339326;0.48543;0.601855;0.705699;0.79075;0.856893;0.904135;0.932474;0.942466
2266;119.504;13.9057;0.;0.178667;0.339277;0.481023;0.603862;0.707783;0.802845;0.876635;0.924328;0.952662;0.962654
2267;162.13;8.71962;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792821;0.859025;0.911635;0.934486;0.944035
2268;72.5183;4.60901;0.;0.178662;0.33927;0.482187;0.618097;0.720731;0.805773;0.871924;0.919165;0.947509;0.957499
2269;45.0136;3.32254;0.;0.178595;0.351;0.51582;0.63909;0.743028;0.828067;0.89421;0.941452;0.969792;0.979783
2270;91.6429;15.5575;0.;0.178662;0.339285;0.481027;0.607352;0.73744;0.839332;0.905472;0.952712;0.981052;0.991043
2271;139.862;10.6887;0.;0.178662;0.339295;0.481024;0.603861;0.707786;0.792844;0.864744;0.907648;0.936092;0.946081
2272;133.883;4.98749;0.;0.178662;0.339295;0.48101;0.603855;0.70778;0.793684;0.866616;0.911309;0.939638;0.94963
