exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
0;34.3891;17.4144;12.0119;0;0.1722199211549309;0.4407745725607033;0.6539277765872918;0.7768187871278539;0.8807653175355652;0.9658039701641254;1.031947432788602;1.079189330919896;1.107528737821456;1.117520277865241
1;22.3215;9.27026;12.8191;0;0.1867002283693899;0.3389108965235262;0.4792855727508464;0.6021397534633667;0.7060629025796404;0.7911035780908836;0.8572483284950528;0.9044968021022324;0.9328415805203918;0.9428331481952334
2;95.523;6.5679;11.4389;0;0.1786621173979134;0.3392969753542673;0.4810235274628262;0.6044014542751982;0.7153066566338251;0.7940622154057863;0.8600143382549099;0.9072723083865312;0.9356155161468544;0.9456063314857546
3;136.577;4.18895;4.38147;0;0.1786621467462876;0.3392947971572247;0.48102281581246;0.6038435632936594;0.7077790466831172;0.7928796911285647;0.863101478654231;0.9107917092612048;0.9391297961901536;0.9491208719984566
4;188.869;16.8308;5.95441;0;0.1786621467430108;0.3392947971543398;0.4810228159851503;0.6038435312082374;0.7077816132493563;0.7928281839607166;0.8589756133495207;0.9062254426607524;0.9335250518065214;0.9477258260592702
5;56.9738;15.4818;9.23355;0;0.1786572694193535;0.3393579347240944;0.5085261203101755;0.6595841841661989;0.7636186008350137;0.8486541358278619;0.9147976382998372;0.9620395361819712;0.9903789430799584;1.000370483123858
6;101.184;11.9327;10.2765;0;0.1786673936909992;0.3392767330776048;0.4810155609194758;0.6038779756645707;0.7157129575643072;0.8002522428689441;0.8670470180118336;0.9142855993040506;0.9426248587472616;0.9526164034957682
7;14.4214;7.82485;10.69;0;0.1837208599828256;0.3370809976486932;0.4787342095677994;0.6015648351721232;0.7055111897683622;0.7905499108366458;0.8566933724971257;0.9039352706320938;0.9322746775337042;0.9422662175774824
8;17.317;4.86143;13.9769;0;0.1986952958186387;0.3607637853116152;0.5016468243978112;0.624506253286798;0.7284292917967713;0.8134699683810784;0.879614718788416;0.9268631923953942;0.9552079708135764;0.965199538488412
9;96.129;6.81762;7.18956;0;0.1786621160517593;0.3392969754604578;0.4810179208506723;0.6038206180123827;0.7112930029785942;0.7930336468479783;0.8591666183855527;0.906409530675552;0.9347528231442538;0.9447436376497774
10;34.076;11.1618;8.36682;0;0.1794770902359746;0.3441389208832436;0.4872148777219085;0.6100407132513826;0.7139860075516246;0.7990247493117016;0.8651682107846498;0.9124101089181588;0.9407495158194448;0.9507410558631754
11;56.3518;3.00719;12.7795;0;0.178611154886156;0.3417988799682526;0.51539005705064;0.6522750382669844;0.7562017709790619;0.8412412835401901;0.907383132670761;0.9546292028583466;0.9829718088394442;0.9929626273920366
12;21.6498;6.99072;12.1138;0;0.1854084597361971;0.3408286738970442;0.480529438052742;0.6033962037798826;0.7073402360382106;0.7923789640865297;0.8585224253676768;0.9057643235088242;0.934103730410401;0.9440952704541674
13;48.166;6.95451;13.2355;0;0.1786551739072377;0.3438034252685164;0.4874538177697248;0.6037846758112245;0.7077459085989449;0.7927835601393889;0.8589280932165224;0.90617657123783;0.9345213496168432;0.9445129172914448
